学号,性别,年龄,平时成绩,期末成绩,缺勤次数,专业,是否通过
S001,男,20,85,88,0,计算机,是
S002,女,21,78,74,1,计算机,是
S003,男,22,60,55,4,软件工程,否
S004,女,19,92,90,0,计算机,是
S005,男,20,70,58,3,软件工程,否
S006,女,21,88,92,0,计算机,是
S007,男,20,65,70,2,软件工程,是
S008,女,22,58,49,5,计算机,否
S009,男,19,95,97,0,计算机,是
S010,女,20,82,76,1,软件工程,是
S011,男,21,72,68,2,计算机,是
S012,女,20,64,61,3,软件工程,否
S013,男,22,77,80,1,计算机,是
S014,女,19,89,85,0,软件工程,是
S015,男,21,55,60,4,计算机,否
S016,女,20,91,88,0,计算机,是
S017,男,22,68,72,2,软件工程,是
S018,女,21,75,66,3,计算机,是
S019,男,20,62,57,4,软件工程,否
S020,女,19,84,89,1,计算机,是
S021,男,21,79,83,0,软件工程,是
S022,女,22,66,63,2,计算机,否
S023,男,20,73,78,1,计算机,是
S024,女,19,87,90,0,软件工程,是
S025,男,22,59,52,5,计算机,否
S026,女,21,81,77,2,软件工程,是
S027,男,20,90,86,0,计算机,是
S028,女,22,69,71,1,软件工程,是
S029,男,19,63,59,3,计算机,否
S030,女,21,86,82,1,计算机,是
