site_id,longitude,latitude,elevation,slope,ph,organic_matter,nitrogen,yield
S001,116.39,39.91,450,12.5,6.8,3.2,85,4200
S002,116.40,39.92,380,8.2,7.1,2.8,78,3850
S003,116.41,39.90,420,15.3,6.5,3.5,92,4450
S004,116.38,39.93,360,6.7,7.3,2.5,70,3560
S005,116.42,39.89,510,18.9,6.2,3.8,105,4780
S006,116.43,39.91,390,9.4,6.9,3.0,82,3990
S007,116.39,39.94,330,5.2,7.5,2.2,65,3320
S008,116.44,39.90,470,14.1,6.6,3.4,95,4520
S009,116.40,39.95,310,4.5,7.6,2.0,58,3050
S010,116.45,39.88,530,20.2,6.1,4.0,112,4950
S011,116.41,39.93,350,7.8,7.2,2.6,72,3680
S012,116.46,39.89,440,11.3,6.7,3.1,88,4250
S013,116.42,39.94,300,3.9,7.7,1.9,55,2980
S014,116.47,39.87,560,22.5,6.0,4.2,118,5100
S015,116.43,39.92,370,8.9,7.0,2.7,75,3790
S016,116.44,39.93,320,5.6,7.4,2.3,62,3410
S017,116.48,39.88,490,13.6,6.5,3.3,98,4600
S018,116.45,39.91,410,10.7,6.8,2.9,80,4080
S019,116.49,39.86,580,24.1,5.9,4.4,122,5250
S020,116.46,39.92,340,6.2,7.3,2.4,66,3550
S021,116.50,39.87,520,17.5,6.3,3.6,100,4720
S022,116.47,39.91,400,9.8,6.9,2.8,79,3960
S023,116.51,39.85,600,25.6,5.8,4.5,128,5380
S024,116.48,39.90,460,12.8,6.6,3.2,90,4380
S025,116.52,39.86,550,19.3,6.2,3.7,108,4860
S026,116.49,39.89,430,11.5,6.7,3.0,84,4150
S027,116.53,39.84,620,26.8,5.7,4.6,132,5500
S028,116.50,39.88,500,15.8,6.4,3.5,96,4550
S029,116.54,39.85,570,21.4,6.1,3.9,115,4990
S030,116.51,39.87,480,13.2,6.6,3.1,87,4280
